text,stars
"All I can say is if you're looking for late night protein. And only late night protein, this is the place to go. There's not a lot of options cause everything's pretty much just meat this meat that. You'll see many body builders here. The price for the portions you get are unbelievable low. I was stoked that 13$ got me an extra large plate of pork souvlaki which is a meal for 3 on it's own.

Go here for late night protein at a great low price",1.0
"My wife and I love Rocco's. We usually get the pizza, pasta and salad special and it has never disappointed. The staff has always been very friendly and it is in a convenient location for us.",1.0
"My car was involved in a hit and run and I went to Allard and I was pleasantly surprised at the attention to detail and time they took in making sure all my concerns were answered. They made the car look like new and even worked with me to get some customizing done included in the price. Locally owned +++, I won't go anywhere else from now on.",1.0
Nice weekly specials.  I wish it would be alittle more authentic but the steak tacos and the chicken enchilada nachos have a great flavor I like the enchilada sauce and the tequila list is great Casa noble and 1942 don Julio.  Great fresh margaritas and I usually dine in bar with great service and ambiance.  Fun place to take a date.,1.0
"Been reading through some of these bad comments and they are as made up as they come! Wow, liars. I've purchased 6 cars from this dealership in the last 3 years! 6 cars!! Why?? Because this dealership is outstanding! Everything about them has been professional and above reproach. If we had any kind of a bad experience, we wouldn't have purchased even one vehicle from them.
Their sales team is super! We've always been treated with respect! We go there for repairs and oil changes. They've kindly given us the use of loaner vehicles for however long it takes to make a repair. Brand new loaner cars! Who does that for a 4 hour job? Planet Hyundai Sahara, that's who!
They have never charge us more than the sticker, usually lower. They've taken trade-ins and swapped out lease\/purchase vehicles with absolutely no problems! I can also say that whatever price or agreement we came to, they took exceptional care of me, even on our first purchase.
The warranty is amazing! We paid for one repair that wasn't covered under the warranty. One repair for six cars. I'd say that's amazing! (it was a belt)
If you want fantastic customer service, the best product for the best price and a dealership that has your best interest at hand, you NEED TO GO TO PLANET HYUNDAI SAHARA. Just a great place to buy a car. I think I'll call them right now... looking to buy my seventh. :)",1.0
One of my favorite Mexican restaurants! We my mom's surprise 60th birthday party on the back patio and it was great. I've gotten lucky and always have had great service here. My only complaint is that I wish there was another one closer to my house (in South Chandler).,1.0
"We stopped by here for their Christmas display and it was just beautiful!!!!! It's free, so definitely stop by and check it out. I loved the polar bears made out of carnations, amazing!!!!",1.0
"Look, this  was clean,  fast, good selection, food.  I love salt n pepper chicken wings, oysters, seafood veggie mix and tempura veggie. My coke was never out and three people for a little over thirty bucks at lunch time. I'll be back!",1.0
"Definitely best hair salon in town!!!
I'm regular costumer since 2009 and I'm very satisfied, and i always recommend to my friends Identity!!!
They are offering value priced service!!
The owner IVAN is provide maximum flexibility and strong customer attention!! He is just amazing!!!
In the salon you also can find hair care products, those are professional quality supplies will include shampoos, conditions, reconstructors, brushes, combo, and another styling aids.. 
Definitely worth to  check and treat your hair with professional!!!",1.0
Great Polish comfort food and excellent service.   The Potatoe Pancake is THE DISH to get if it is your first time with pyrogies for an appeitizer if you have a large appetitie.,1.0
