text,useful
"The food is fantastic.  Great atmosphere and staff.  The tables have lit candles and some fine dining music is playing.  They have daily specials. If you happen to visit on a night where their special is the Rigatoni Bolognese, do not pass it up.  It is fantastic. 

My wife and I each tried their salads.  The Cesar and the Chopped Italian salad are fantastic.  All portions are large in comparison to most restaurants.  

We didn't get to try the deserts this time around but they look incredible. 

Definitely will return.",1.0
"Prime Cleaning is absolutely amazing. They did a wonderful job and are reasonably priced.  There was no song and dance with their pricing either (problems I had before with other companies.) 

Donovan, the technician, was extremely professional and helpful. I'll post a picture later. 

Overall: Amazing and Honest company.",1.0
"We decided to live up to our hype of being open-minded and try something unique to Phoenix (i.e., not Mexican; not Vietnamese; not Chinese; etc.).  And that's how we ended up at El Chullo; though, to be fair, we almost DIDN'T end up at El Chullo's.  A previous reviewers comment about parking being limited is like saying Marlon Brando was slightly overweight towards the end.  Let's just say, the parking lot is shared with other businesses; the ""lot"" is about one car wide; and one has to do fancy gyrations to park and withdraw one's car IF one can get a spot.  After driving around three times, we parked in the printing shop's lot across the street (which, I'm sure, will thrill them to no end when\/if they read this).  Go during the standard 9 to 5 business hours and you may find yourself outta luck or risking a tow.

Alas, the parking spots are not the only thing small about El Chullo.  In fact, ""small"" pretty much describes it all:  the parking. the restaurant, the portions.  I was rather amused (bemused) by the comment from one of the reviewers that the portions are ""very large"".  Really?  VERY large?  Perhaps for someone who survived  internment at Sherrif Joe's Tent City or who usually dines on those diet programs' pre-packaged food (served in upscale concentration camps).  Granted, this is not to say that the portions were pretentiously small like a la carte francais food; they were perfectly acceptably sized for people, who eat like they're supposed to  (translation:  non-Americans).  We, however, are of the MOO crowd, so for us, all of dinner was something akin to ""snack"".  (Hey, I workout, get off my case!).

We started out with the appetizer platter for $14.95 and chose the Chicken Causa Rell; the Papa Rellena; and the Papa ala Huancaina.  Presented very artistically, I would not say it was an appetizer for two AMERICANS.  Taste was quite good and unique, though the standout taste was potato (hardly a surprise since ""papa"" means 'potato').

I had a very spicy cerviche mixto and my other half, the escabeche de pollo.  Both very good -- the latter served with rice and a small portion of cold, sweet potato -- but we weren't exactly unbuckling our belts at meal's end.  Again, like I said:  not small, but not big by the usual, middle-class American standards, where the men are men, eat like men, and doctors buy brand new cars every month with all the money they get from bypass and pacemaker surgeries.  Nuff said.

The diet Inka Cola, colored like Mountain Dew but tasting like cream soda, is good, but $2.00 a can?  For both of us, the bill came to $46.41 without tip.  Not tragic, but a bit overboard for the quantity.  Maybe reasonable considering the uniqueness of the food.  The 20% tip for Omar, however, was well in line.  Attentive service without being overbearing and very accommodating.  That's one thing I really can't make any complaints about (and as you see, I have no issue complaining).

While I agree with the other, previous 17 reviewers that this is a very nice restaurant, I am not wowed enough to give it 5 Stars.  Those who read my reviews know I'm not generous with my highest rating and you've got to earn it.  For those looking for something different, tasty and served with good attitude, this restaurant is just fine.  If you're a big eater, don't expect to come here and not want something more afterwards.  No one there looked unhappy and we weren't either ... just not full.",1.0
"Passed by here while heading to First Markham Place's food court, and had been attracted by the sign of ""afternoon tea at 2pm"".    This place is used to be my fave noodle place; Kenny's noodle.  Haven't been popping in since Kenny's changed hands.  Friends have been recommended this place, and saying that their dinner is good!  The decor reminded me of Kenny's once I stepped in.  The server was friendly and gave us the menu for afternoon tea right away.  We had the chicken burger with fries and chicken and ham spaghetti in cream sauce; both $4.99 each including drinks.  The chicken was crispy and the bun was toasted just right.  The topping of lettuce and tomato were crisp and there was right amount of mayo.  I was actually just wanted to have a bite but finally I had finished half of it, and leaving the spaghetti nearly untouched - no more hassle cooking tonight :p They are having special on lobster; $10.99\/lb!!  Afternoon tea ranging from $2.99 to $6.99 includes drinks.  Good deals....... yummy food ......... excellent service!!",1.0
"I stopped by for lunch and grabbed a quick bite... The wait from order to food wasn't long at all... The waitress at the bar made some small talk and was very sweet... 

The croissant I ordered with ham and swiss was delicious... I loved the ratio of meat and cheese to bread... Sometimes with croissants, it's hit or miss... lol  I was very unimpressed with the tomato bisque... The first couple of spoonfulls were really good, but then it just turned sugary out of nowhere... I couldn't finish it... 

The parking definitely leaves a lot to be desired... And the lot could stand to be repaved, so watch your wheels as you navigate... 

If I'm in the area, I might venture in again... It wasn't bad, but it didn't knock my socks off either... Maybe I'll order something different next time...",1.0
"Real Men Don't Eat Quiche.(1)  So fine, I'll just turn in my man card for a month.  Only served on Saturdays and the ingredients change according to availability.  This generous portion of quiche in bacon spinach form was enjoyed by 3 of the 6 people at our table.  It came with a bowl of diced melons.  Not to say it is the only good thing to eat here as everything ordered at the table disappeared quickly from our plates.  Including a shared stack of pancakes of which I had one.  But the quiche alone is enough reason to get there on a Saturday.

This was my first time at the new digs.  The small parking lot is saved by having street parking along the canal.  There are more tables here but on this Saturday late morning there was never more than a couple of empty tables at any given time.  With the layout large groups have to be broken up.  Service was spot on.  And the owner was visible in the dining room most of the time helping out where needed.

(1)Feirstein 1982)",1.0
"So glad we decided to check out this new restaurant! We went for lunch so it didn't end up being super crowded. The service was amazing- our drinks were constantly full.  The guacamole was fantastic and if you order one thing on the menu, seriously, make it the street corn. That stuff is unreal. The tacos we tried, Baja and Pollo en Mole, were good but nothing to write home about. Our only complaint was the music. We didn't think it was too loud like other yelpers suggest, but it they were playing sad, slow country ballads. Not exactly what I would think of for their atmosphere and definitely not my preferred genre.",1.0
"This was my first time staying down in the old part of Vegas. Or even going to the old part of Vegas for that matter. I found a good deal for The Plaza online and figured since we were only going to be there a really short time it would be ok, even if it was a  dive. It definitely was NOT a dive. VERY nice rooms!  The bed was super comfortable and pretty big. We almost had a nice view but had a little bit of roof in the way (seems to always be my luck). Not bad at all for $50 a night. 

My only complaint is that the walls are really thin. The neighbor's TV was pretty loud in our room.

I'd definitely stay here again though!

As far as the casino goes it was just meh. We hung out down there at around 1:30-2 am and never saw a cocktail waitress the whole time. I was so thirsty we ended up just going to the room. Also it's really annoying that they do not have those little ticket redemption machines and that you have to go up to the cashier to cash out your tickets.",1.0
Have taken several cars to this place.  Always one time and it is fixed.  Recently had a noise issue.  It wasn't my transmission but they fixed it anyway and did not charge me because it was a simple fix.  Great service.,1.0
"Stopped by this location after a doctor appointment because we we're starving...

The girl at the cashier station didn't acknowledged us because she was having issues trying to figure out how to split a payment...

Once she did say ""hi"" to us and took us to a booth that still had the tip from the previous customers we waited for about 15 minutes and no one even offered us drinks so we just walked out...

Found a Farmer Boys a mile an a half away & had a great meal there for half the price of what we would've spent at Denny's...",1.0
"This place is wonderful! Very accommodating and provides a great option for making acupuncture more financially accessible (and therefore able to be taken advantage of weekly or more), all the while respecting the profession and not cheapening it. Very well done and professional while being friendly, relaxing, and welcoming. I am so happy I was told about it!",1.0
"I almost gave this place 1 star, but since our waitress didn't question our alcoholism [too much] and added more tequila to our drinks upon request, I decided to give it 2.

We had just landed in Vegas and were craving huge margaritas and snacks. Since it was almost noon (that's 3 oclock dc time okay?), we were seated right away. The cheapest margarita was $9, which in Vegas is not a lot at all, but if I'm going to pay $9 for the shittiest alcohol they have, there better at least be a lot of it in my drink. There wasn't...so we asked the waitress if they could add a bit more alcohol (obviously asians age well so maybe she thought I was like 18 or something and gave me a virgin). She basically rolled her eyes, but brought it back with a nice shot on top. Cool. 

We ordered only a few guacs and quesos for the table and she basically rolled her eyes again (sorry this was our first day, not ready to be big spenders yet). Both tasted fine, nothing special. HOWEVER, each dip came with a plate of like 10 stale chips. R U serious??? But luckily enough for us the bowls that the guac and queso came in were edible so obviously we crushed those.

Also, the waitress was confused x1000000 when we split the bill. All we did was put down the amount each person owed next to their last name on the receipt so I'm not really sure why she didn't get it.",1.0
"Showed up with $500+ to buy khs urban soul; with over three hours before closing time. Was told they couldn't prep the already assembled bicycle in time.
This after wasting and standing around nearly 45 minutes..  Straight to BATEMANS (i.e BETTER); they had the bike and a lock ready for me to go (20 minutes before closing).  
Would never re-enter or spend a dollar at URBANE.",1.0
"I have been a client at this location since it was Dermacare- The Staff has always been attentive and friendly. Dr. Maltais has the experience and knowledge to address any concern or question I may have. No matter what treatment or request I may be interested in, any of the talented staff will make certain what is involved and if it is really necessary. They are there to help you look and feel good, ask questions, they have the info ,certifications and latest technology, products and best services you could ask for in the area.",1.0
"LOVE Plate & Barrel! They've managed to achieve a whole different, upscale feel compared to Buck n Honey's. (Still love B n H's) Very high quality food, interestingly compiled & creatively presented. EX-TEN-SIVE wine list. Real live tapas, right here in the Prairie. We're going again in an hour - can't wait to demolish another cheese plate!!",1.0
"The Full Service wash is an excellent value at $22. I added a hand wax for an additional $18.

The car was spotless when I got it back. They vacuumed up every bit of dirt and debris from the floor. The interior dressing was applied evenly. The manager even stepped in to inspect the vehicle while was it was being polished and touched up a few spots himself.

Unlike other car washes, the attendant was not pushy and did not try to up sell me on any items.  

Very good service.  Attention to detail. They take pride in what they do.",1.0
"Ordered green chili burrito, enchilada style. What can I say, I should have stuck with the main item in this place, fried bread, but I had a craving for green chili meat, nice and stewed. Too bad I didn't satisfy the craving here. The green chili was way too mushy (maybe too much flour in the sauce?) and it had only small pieces of meat, I had to fork around trying to find them.  My wife ordered the chicken enchiladas, she liked the red sauce, solid flavor, chicken was shredded and tasty. My aunt ordered the combo plate of green chili: she liked the refried beans and rice, huge flour tortilla, but she had the same opinion of the green chili,   mushy and not enough meat. My aunt did say she had previously tried the fried bread and thought those were great. The place itself was super clean, nicely decorated for the holidays, service was fast and friendly. Based on the cleanliness and excellent service, I'll definitely try it again for the fried bread.",1.0
I must have been expecting too much from the previous reviews I read because this place was everything but fantastic. The bartender was completely out of it and had a hard time remembering anyone's tab although I could count the amount of people at the bar on one hand. The food was mediocre at best. And to top it all off when we went to cash out we learned that half of our bill didn't belong to us...save yourself and find a different dive bar to spend your money at,1.0
"The stars are for the front desk woman, who was always smiling and very nice.  I had my vehicle towed here following an accident at which my front left tire randomly came flying off while I was driving.  They had my car for almost three weeks and my car LOOKS great.  However, the next day there was a creaking noise and I brought my car back.  The mechanics took it right away and then came out to the waiting room and told me that all three of my other tires were loose, but they tightened them and it's good to go now.  I was happy it was an easy fix BUT considering they had my car for 3 weeks, and my car was there because my front left tire had come off while I was driving, SHOULDN'T they have checked my other tires?  Also, everyone knows that rotors should be replaced in pairs, but they only replaced my left one.  The entire thing just makes me question whether they truly assessed my vehicle as a whole, and not just the obvious left, front side.",1.0
"Authentic Colombian food that is tasty, in huge portions and comes with free coffee after meal! Will come back for sure.",1.0
"Wow. What a find.  We had dinner here last night and it was fantastic. The food was expertly seasoned and flavorful, the service was spot on, and the prices were (quite frankly) probably too low for the value received. 

I can't wait to go back as I have already identified several other dishes I need to try. 

They have everything from breakfast to dinner - and it all looks good.",1.0
"Great groomers!!! I just took my 2 pugs in and they came out brand new!!!!! Ears, nails and the wrinkles were super clean. They smelled wonderful. The staff was super friendly and the pugs loved them. I'm so happy I finally found my go-to groomer. I highly recommend this place!!",1.0
"I've been here twice in the past few weeks and I have to say that I've had a very consistent experience. The pad thai - or phud thai, as they call it here - is pretty standard. I would warn against being too liberal with the spiciness levels as they do go up quite quickly and dramatically. The serving size is quite generous and I like to share it with someone else. Usually I find that a salad or another appetizer plus the pad thai is enough for two. Their salads are not particularly interesting - the mango salad consisted primarily of sliced mangoes, which is a stark contrast to the usual mango salad where you get a bed of lettuce topped sparsely with mangoes.
 
Overall Salad King is really inexpensive and the service is fast. The trade-off is that there are communal tables - where you'll probably end up if you're in a small party - and that the restaurant space can be quite loud. I've found myself yelling both times I went there so I've resolved to only go back to Salad King when conversation isn't the focal point of the meal.",1.0
"This place is exactly what the name says... A dive. Therefore, if you're expecting something more, then it sounds like you let the obvious notion slip right by you. It is a small bar that is an open space. They have great drink specials everyday with $2 shots, drinks and beers!  They are well known for their skeeball machines (and tournaments) and hosting OSU Buckeye game watch parties!  This place gets really packed for OSU games. It is hit or miss sometimes outside of that, but I have seen it really packed on Saturday nights because they do have a good DJ that plays a wide range of popular music (old and new!).

This place isn't much for decor and ambiance... But again, you need to remember that we are talking about a ""dive bar"" so they do live up to that name perfectly.

I don't know what the malfunction is in the women's restroom though. The sink countertop is constantly covered in water all the time. I always feel the need to clean it, but it's like this every time!",1.0
"They would get three stars if it weren't for one thing... SEASONING!!! Everything we ordered was completely lacking in flavor and didn't have any salt and pepper on it. We started with the golden wings that were good, but not great. I ordered a focaccia with balsamic sirloin, mushroom, onion, and cheese. Sounded good, but it just tasted like balsamic grease. I also went with half sweet potato chips and fries. The fries has no seasoning and needed to be cooked a couple more minutes to make them a little crispy. The sweet potato chips were ok, but again no salt and pepper. My fiancé ordered the onion rings, and of course there was not a single grain of salt on those onion rings. The food was disappointing to say the least.

Overall, it wasn't a bad experience, but I don't understand how anyone can run a kitchen and let all of the food leave your kitchen without salt. I wouldn't come here for the food after this experience, but would consider having a couple beers here.",1.0
"I've been out to a few different Duckworth's locations now and they seem to do a good job at keeping their atmosphere and service above par without being ""cookie-cutter"" by any means. 

I came out to this location after work one day and took advantage of the all drafts $3.50 special. Great place to come out for a few drinks with co-workers, but also looks like a fresh joint for low-key nightlife. I haven't had their food here yet, but assuming it is on the same quality level as the other locations, you won't be disappointed.

Again, the atmosphere and service shine here. TV's all over for good sports coverage on associated game days.",1.0
"I would have to say one of the most amazing shows I have seen
It is really entertaining from the moment you walk in and until you leave
the website is a little vague but there is a show side and a dinner and show side
the show side is at like 8 or 10 where you sit there and watch them do there stuff
and the other side has like a dinner and you watch like some of the mini shows that happen
I do have to say this does deserve 5 stars mainly because I rate this place based on if I would return again after watching it....
and this one is a definite YES",1.0
