text,stars
"My friends and I had dinner last night at the Palm.  What a great experience.  Sat outside so we could people watch as shoppers moved back and forth through the the Forum shops. The meal was delicious and our server, was a pure joy.  He was extremely attentive, informative, and fun.  Super friendly!  For dinner I ordered the bacon wrapped scallops which were cooked to perfection, flavorful, succulent, a super treat for the palate.  For the main course I had the crab cakes, also very good.  Large portions and more than I could eat.  My guests had the lobster bisque soup, a filet that was cooked to perfection and a delicious shrimp, avacado salad.  Both parties raved about their choices.  I will admit that this was second time to the Palm, the first time was years ago before Yelp and Trip Advisor, but it was also a pleasurable experience.",1.0
"My boyfriend and I rented a property from RSN for 1 year and recently moved out. Manny and the entire staff at RSN made dealing with a property management company very easy. Never did we have any problems with them and their customer service was always on point. We did have a couple issues with the owner during the year we lived there, but Manny was completely understanding of our concerns and dealt with the owner. Owner issues aside, Manny and RSN really take care of their customers and I would recommend them to anyone I know looking to rent a home in southern Nevada. Great service and easy to work with. A+",1.0
"Capo's Speakeasy is a fun place to take a group of friends! You have to ring the bell for access, but before they let you in they open the little window door and ask who you are....you know, like a Speakeasy....cute idea!
Prerty dark inside (reason for the 4 not 5 stars). I like to see my food a little more. They have a Frank Sinatra type singer who makes the rounds to all the tables thru out the night. They also have a magician who was AWESOME!! Everyone really enjoyed their dinners! 
The pasta is fresh made which is always a plus! I'm a picky vegitarian and my Linguini Ariabatti was excellent with just the right amount of spice. Angels with Dirty Faces (movie title) Angel Hair pasta w\/peas,mushrooms, pepperoni w\/a vodka type sauce. The chicken dish our friend had was also a winner!!! We'll definitely be returning to Capo's Speakeasy!",1.0
"Best shawrma place ever, I come here 4 times a week and the owner is very nice! Highly recommend if you're in the area.",1.0
"Had another shop leave a piece out of my front end after the Last alignment. It killed a $500 set of tires. The guys at Car Guys fixed everything and had to do 3 alignments, mounted an balanced the new tires and replaced the parts that were missing for less than the first shop charged for the bad alignment. You will be treated like family here!",1.0
"The food here is delicious! We didn't stay overnight and just had dinner before heading back to Toronto. It's a hidden gem and comparable to fine dining restaurants in downtown Toronto. Bartlett Lodge is located in Algonquin Park on the opposite side of Cache Lake. It's a short complimentary boat ride to get there.

 Dinner is a 5 course menu consisting of your choice of charcuterie (how many choices you get depend on how many people are in your party), complimentary bread, a choice of 4 appetizers, daily soup, palette cleanser, and a choice of 4 mains and desserts. All the dishes were well seasoned and not overly salty. The duck and beef tenderloin were both cooked perfectly. Although everything was tasty, the highlight for me was dessert. You can't go wrong with phyllo wrapped cheesecake in a Jack Daniel's caramel sauce!",1.0
"On the way to the Barrett Jackson auto auction I yelped breakfast.  Right off the 101 I pulled in and the place was packed, good sign! We were seated before expected and as we browsed the menu an employee stacking chairs asked if we needed any assistance with the menu, to my surprise he was able to answer all of my questions and made note that he was the only restaurant that cracked their own eggs and his coffee was from a local coffee shop just down the street. No longer after we ordered, my coffee was topped off twice and the meal was on the table. The breakfast was excellent, service staff was very professional and efficient. All hand selected by the man stacking chairs. 

On the bucket list for my next trip to Scottsdale AZ",1.0
"Was skeptical of the 5 star review but after eating there the food speaks for itself. It's made in front of you. Food was a bit hot fresh off the burner, so I had a chat with the friendly staff as it cooled off. Was filling and satisfying, would definitely eat there again.",1.0
"By far my favourite thai food place.  Been there over 5 times, and ordered a few times as well.  My favourites are Tofu Suko Thai Pad Thai and the green and red curry dishes.  Also getting the garlic tofu (for vegetarians) is a must.  No complaints about this place, will always be one of my favourites.  Look forward to trying out Khao San Road",1.0
I've only had the donuts but god damn they were good. They are soft and perfect for sneaking into a movie and eating quietly.,1.0
