text,stars
"I am so glad my son said he was craving Greek!  We found this place because it was on YelpEats as closest to our house.  

The gyros were great!  Packed full of meat that was fresh and moist. The Feta fries were very flavorful and had the perfect amount of feta. 

I thought I had ordered Lebni but got extra Tzatziki which was fine.  I think next time I will try their hummus or babaganoush.

We also ordered Sarma - like  dolma rolls - cabbage, meat, rice in a lemon olive oil - oh YUM!  

We will eat here in the future!",1.0
This is their second location and it defiantly does not disappoint! Not only are the beers Fantastic (which i expected since we love their downtown location) but the atmosphere is awesome!! East Mesa needed something like this bad you can watch planes land and take off and see the beautiful mountains. The food here is done by their neighbors at Steak and Stone with many yummy bar foods to choose from! This location also has a FULL bar which their downtown location does not so for those who are not beer drinkers there is plenty options for you as well! Would recommend this place to everybody!!!!,1.0
"Some cuisines are hit and miss for me.  Take Indian food for example.  I've had Indian food that runs the gamut from amazing to awful.  Same goes for Vietnamese cuisine.  I've been to valley Vietnamese staples like Rice Paper & Da Vang, as well as spots outside the Phoenix area with decidedly mixed results.  Which partly explains why I probably avoided Pho Thanh as long as I have.  I just wasn't super confident I'd have a good experience here.  But with an empty fridge on Sunday and Pho Thanh still being bookmarked on my Yelp account forever, I got up the nerve to give Pho Thanh a try for lunch.

Set right on the light rail on the northwest corner of 17th Ave and Camelback, Pho Thanh occupies a surprisingly large space in a small Asian strip center.  The restaurant is pretty humble looking both inside and out, but I was almost immediately taken aback by how large the interior was, with seating for upwards of 200 at a time.  The tables are numbered for reasons I'll explain later and the place was super busy, but fortunately the waitress guided me to one of the few available small tables in the corner (Table 4, for the record).

The menu, as the Yelp reviews and photos have accurately depicted, is vast.  With tons of apps, sides, soups, sandwiches, and house specialities to choose from.  Yet with all the choices available, the very first appetizer menu item immediately caught my eye.  The Goi Cuon is a pair of rice paper spring rolls with all kinds of goodies.  Pork, shrimp, lettuce, cilantro, mint, sprouts, and vermicelli noodles.  Served with a nice light peanut sauce on the side.  Admittedly I'm more of a fried roll kind of guy moreso than rice paper, but the interior of the roll was fabulous.  The mint and cilantro elements really tingle your tongue and give it more depth than just the meat and peanut sauce alone.  As for my entree, I went with one of the house specialities.  The Bo Luc Lac is a relatively simple dish in the grand scheme of things.  Meat, white rice, and salad.  But the meat in this case is cubes of filet mignon that are cooked until they're sizzling hot and the meat comes out to your table still sizzling and bubbling much as you would see a steak fajita tray fresh off the burner.  The sauce on the meat is a mixture of soy and a couple of other elements I couldn't quite put my finger on.  But the jasmine rice soaked up that sauce superbly and the salad served as a lovely palate cleanser.  Really solid lunch.

Two other aspects that stand out about Pho Thanh are the remarkable efficiency of their staff and of course the prices.  From the moment I stepped in the door, the staff were incredibly quick to get me seated, get me a water, take my order, and brought out both my app and entree in rapid fire succession.  This despite well over 100 other patrons in the restaurant for lunch.  Back to that table numbering thing.  At the end of your meal, they don't bring your check out to you.  Instead you walk up to the register, tell them your table number and pay there on the spot.  As for the prices, yeah they're cheap.  Accessible to virtually anyone of any income level.  I got one of the more expensive entrees at $11, but the overwhelming plurality of the menu is less than $10, with many being less than $5. 

Total cost for my app and entree plus tax and tip came to $18.  A great meal with great flavors, great staff, in a humble (but spacious) neighborhood friendly spot.  I'll be back for some Pho and perhaps a Banh Mi sandwich before long.  Vietnamese food remains hit or miss for me, but this CenPho Vietnamese restaurant definitely nails it.",1.0
"Went here two days in a row and seriously considered ordering one of everything because I brought 5 people with me the second day. Everyone was happy with the bakery items such as the Zaatar Manousheh, as well as the individual plates we ordered of various pita wraps and Shawarma plates. We got the fresh made lemonade and strawberry lemonade that my 6 year old absolutely loved! Before we left we ordered cappuccinos and a LARGE to-go order for friends that couldn't come with us. Going on Friday for breakfast! Lunch menu can accommodate for Vegetarians, Vegans and children. So very sad we are going back home to New Orleans, can't wait to return!

Forgot to mention that the Beef Shawarma options are delicious, well seasoned RIBEYE!",1.0
"Awesome quality beef, FRESH Kale salad with chicken, awesome drink specials!!!! When in Vegas, COME HERE!!!!! OH, SERVER, Lena was very professional and a great bartender!!!",1.0
"Big fans of this place they serve good food and good coffee. All the dishes are very good and worth trying except the pancake might still have space to improve. I love their pork belly omelette, chicken waffles and smoke salmon salad, and they have the best ice mocha in town.",1.0
"We hit gold finding Dr. Feldman's practice! My son felt immediately at ease with his staff. They're encouraging  and offer the kids fun incentives to keep them on task with their end of treatment.  There was no hard sell of treatment plans, we were presented with plans for both now and delayed future treatment. Dr. Feldman took the time to explain and answer all of our questions so we could make an informed choice for our son. Our confidence was only further cemented in this practice because of it.  Finally, this entire office is the most mindful office I've ever come across when it comes to your time. All of our regular scheduled and emergency appointments have had my son called back to chairs in minutes. This office is a finely tuned machine with heart. I enjoy seeing all their social media posts of their patients sharing their beautiful new smiles but truly behind that there's whole families wearing those smiles having selected Dr. Feldman and his staff.",1.0
"Graffiti is an unassuming building that's really easy to miss unless you're looking for it. We went tonight with our dog in tow.  Any place that allows me to bring my puppy daughter is automatically good by me!The back patio is so relaxing and pretty, definitely a good hangout spot. It wasn't too hot, and the patio was just right for a June night. 

The food was probably one of the best I have had yet in cleveland. We ordered the Ruben ribs to start. They were the only forgettable part of the meal. The meat fell off the bone but there wasn't much flavoring to them. Hubs ordered the Battery Park hot dog which he described as incredible. I didn't try it, but he said he really enjoyed it. I ordered the Graffiti burger. Holyyyyyyy wow. The best burger I've had in my life. Whoever decided to put goat cheese and a fried green tomato on a burger deserves all the high fives. Burgers are never my go to meal choice and I never finish a whole one. But this was incredible. I will be back and I will order that dang burger again. The fries were pretty good too. Perfectly seasoned and fresh as hell, yes please.

The reason I simply cannot give Graffiti 5 stars was because of the service. Our waitress was very nice and did a great job but this place was S L O W. Maybe it was an off night? Maybe it's just how they operate. But even our drinks took at least 15 minutes. And we sat there without water forever. Definitely not a place to go and have a quick meal that's for sure. There were also plenty of open spots on the patio so they weren't even super busy. Also, they were out of the beer my husband wanted to order and like 3 others. I ordered their sangria of the day which was the perfect summer drink, but they ran out after my serving. When I asked for Chardonnay, they were also out of Chardonnay. On Saturday night. Anyways, the food was worth it and the patio is so cute. I do recommend!!",1.0
"My fiancé and I are preparing for our wedding and we've been looking for ways to capture our best selves in our wedding pics. After a quick Google search, i came across whiten up today. This was by far the best decision we've made regarding teeth whitening. We've used strips, at home kits and dentist office whitening and none compare to the excellent results by Steve. Highly recommended",1.0
"Our air conditioner stopped working in our house, and Emil responded within an hour. I am amazed, how little he charged us to have it fixed, most companies would charge more just to look at the problem. If you want honest and good service, I would recommend Emil. Thanks Emil.",1.0
Definitley an authentic Mexican restaurant.  The organic margherita was excellent.  The tampequnia was amazing.  Fajitas were very good as well.  Servers very friendly and accommodating.,1.0
