text,useful,stars,date
"I bought this for my grand daughter when she comes over to visit. I set it up with her as the user, entered her age and name and now Amazon makes sure that she only accesses sites and content that are appropriate to her age. Simple to do and she loves the capabilities. I also bought and installed a 64gig SD card which gives this little tablet plenty of storage. For the price I think this tablet is best one out there. You can spend hundreds of dollars more for additional speed and capacity but when it comes to the basics this tablets does everything that most people will ever need at a fraction of the cost.",0.0,1.0,2017.0
This amazon fire 8 inch tablet is the perfect size. I purchased it for my husband so that he has a bigger screen than just his phone. He had gotten me one a few years ago so I knew it would be a good purchase.,0.0,1.0,2017.0
"Great for e-reading on the go, nice and light weight, and for the price point given, definitely worth the purchase.",0.0,1.0,2017.0
"I gave this as a Christmas gift to my inlaws, husband and uncle. They loved it and how easy they are to use with fantastic features!",0.0,1.0,2017.0
"Great as a device to read books. I like that it links with my borrowed library e-books. Switched from another popular tablet brand and I am happy with the choice I made. It took some time to get books from my previous non-Kindle reader, but finally figured out a way!",0.0,1.0,2017.0
I love ordering books and reading them with the reader.,0.0,1.0,2017.0
Not easy for elderly users cease of ads that pop up.,0.0,1.0,2017.0
"Excellent product. Easy to use, large screen makes watching movies and reading easier.",0.0,1.0,2017.0
Wanted my father to have his first tablet and this is a very good value. He can watch movies and play a few games. Easy enough for him to use.,0.0,1.0,2017.0
Simply does everything I need. Thank youAnd silk works wonders,0.0,1.0,2017.0
Got it as a present and love the size of the screen,0.0,1.0,2017.0
"The kindle is easiest to use, graphics and screen crisp, clear, brilliant colors.",0.0,1.0,2017.0
nice reader. almost perfect for what i want/need. good bargain,0.0,1.0,2017.0
I really like this tablet. I would have given 5 stars but sometimes you have to push start several times after you unlock the screen and it is a little annoying.,0.0,1.0,2017.0
Great video quality lots of fun apps fun for the whole family,0.0,1.0,2017.0
Love love love my kindle fire 8.....this is what my 9 yr old granddaughter said when I bought this for her at Christmas..we have purchased kindled in the past but this one has been the best....love the fact that you can now use a memory card in it...that helps so much when you use it for books...games...music and viedos...thanks,0.0,1.0,2017.0
"Excellent tablet with nice screen. I wish Amazon would pre install the play store, this would have been perfect.",0.0,1.0,2017.0
"Preloaded with the reading app from Kindle but expandable with other apps. Perfect for travel. Carry your library, games and productivity apps in a small footprint.",0.0,1.0,2017.0
"Very happy with this product and easy to use..picture is clear, takes great pictures..",0.0,1.0,2017.0
"My grandchildren are home schooled and utilize the tables for many learning apps! They LOVE using them as it makes them feel ""so grown up""! The tablets are a great leaning tool and they are receiving many benefits from them!",0.0,1.0,2017.0
"Great size, easy to carry for traveling. Need to spend more time Looking into apps for contact manegement, interactive calenders and most important, music storage and use.",0.0,1.0,2017.0
I purchased this when my last tablet died. It meets all basic needs and the price was great.,0.0,1.0,2017.0
"Perfect for downloading and reading books !! Perfect size and has a nice, bright screen.",0.0,1.0,2017.0
I was surprised when I learned of the capabilities of this device. Now my husband has more access to his desktop and I am doing things which I couldn't on his device.,0.0,1.0,2017.0
I got it for my son. Its user friendly and durable.,0.0,1.0,2017.0
"The visual quality on the Fire 8 HD is amazing. It runs very fast and is easy to use, very durable.",0.0,1.0,2017.0
If your looking for a affordable gift this is it!.,0.0,1.0,2017.0
"This is a great tablet for the price, would recommend it to anyone looking for a basic tablet.",0.0,1.0,2017.0
Works great. Love the portability of books. Overall great product,0.0,1.0,2017.0
I am still learning all the things I can do with my new Kindle Fire. It is so much better (lighter in weight and easier to use) than my old tablet.,0.0,1.0,2017.0
Just the right size for reading books and playing some games.,0.0,1.0,2017.0
I love everything about this tablet! The imaging is sharp and clear. It's fast and light weight. Love it!,0.0,1.0,2017.0
Overall a nice product for traveling purposes Value for money,0.0,1.0,2017.0
"My children love this table great quality of pictures, excellent camera",0.0,1.0,2017.0
I bought 3 tablets and my family was not disappointed.,0.0,1.0,2017.0
Great tablet fast screen good size never gives me problem,0.0,1.0,2017.0
"Bought this for my 87 year old grandmother who wanted to be able to play games and read books from the library. My aunt lives with her and can help her use it so its perfect for that type of user. After playing with It, I would consider it for just about anyone other than a hardcore user that wants the latest and greatest tech. if you are tech saavy, you can do more with these Fire tablets than advertised.",1.0,1.0,2017.0
This is exactly what the person wanted as a gift and she enjoys using it.,0.0,1.0,2017.0
Does all basic functions of a tablet. Hardcore users may want an iPad.,0.0,1.0,2017.0
Works great for a simple tablet. Not a huge fan of the silk browser but it could be worse! I am very happy with my purchase!,0.0,1.0,2017.0
It's fast and easy to use. This is my second kindle fire .,0.0,1.0,2017.0
More flexibility than a Kindle and bigger screen. Like it because I can surf the web and download and read books.,0.0,1.0,2017.0
"For the money you cannot beat this tablet. Full of features, picture quality is great, and very fast speed while using the internet.",0.0,1.0,2017.0
"Easy to use, solid build, sharp HP screen for movies. Who needs more?",0.0,1.0,2017.0
Tablet is perfect for beginners who just want basic,0.0,1.0,2017.0
"this is my first tablet .. love it .. actually read my first e-book on it .. large screen, easy to read & play games .. fits nicely in my purse",0.0,1.0,2017.0
This 8 inch Fire is definitely better than the cheaper 7 inch. It works fine enough for teens to play games and watch movies.,0.0,1.0,2017.0
"Great tablet for under $100. Does not have the highest specs, but gets the job done for lite tablet users.",0.0,1.0,2017.0
"I purchased the kindle fire because I needed a entertainment only device for long flights. This device is the perfect size for travel and easy to use and set up with your Amazon account. It is worth purchasing a Fire tablet if you are an Amazon Prime member. If not, I would not recommend it because the available apps are limited . My only complaint about this device is that if it freezes it is difficult to reset.",0.0,1.0,2017.0
This fire tablet has long battery life. Reasonable fast,0.0,1.0,2017.0
Got this for my wife and she loves it. She had the previous generation and this one is a giant keep forward.,0.0,1.0,2017.0
Sleek packaging easy set up and great for anyone who wants a e reader with more to offer.,0.0,1.0,2017.0
Best and most affordable option of all the Kindle devices available.,0.0,1.0,2017.0
"I did not want to get a new kindle but my old one would not charge or show a charge anymore. I could not depend on it for any length of time so I finally broke down and bought a new one. I am very happy with this one. I was afraid I would lose my music and photos since not all came from the Amazon store. However, everything I had on the old kindle transferred to the new one. I am still learning all about it but so far so good.",0.0,1.0,2017.0
My daughter likes this tablet to play her online games!,0.0,1.0,2017.0
Easy to figure out and used it extensively on my vacation.,0.0,1.0,2017.0
"Excellent tablet to leave at my easel and display reference photos. It's light enough to velcro to a articulating stand (so I can position the tablet right next to my canvas). It's cheap enough to not worry about. I love it, for the price.",0.0,1.0,2017.0
I bought this wanting for books comics and movies and it has not disappoint ever since,0.0,1.0,2017.0
My 4 year old Grandson loves his Kindle. He had to have one after his sister got one.,0.0,1.0,2017.0
Easy to use. As a beginner I found this pad very good. Enjoy the kindle app.,0.0,1.0,2017.0
We got this for our 5 year old and this is really great for the price. Works like a charm!!,0.0,1.0,2017.0
"I find it easy to use, but the kindle does not come with instructions, so you have to find your way around.",0.0,1.0,2017.0
