text,useful
"Wow! Incredible selection of authentic Indian food as well as a sprinkling of indo-chinese dishes. The staff was friendly, as we're the other patrons. A word of caution, the seating seems to get taken pretty quickly, as it's a popular place. The serving sizes were generous, which makes most of the dishes a great value. The garlic Naan in particular was amazing.",1.0
"I want to HIGHLY recommend the Cleveland Clinic at 3131 La Canada, if you ever find yourself in need of a Urologist.
I have been a patient there for 6 months and Dr. Laurie Larson and Dr. Scott Slavis have both been amazing. In fact the entire staff, reception, nurses, schedulers, techs - EVERYONE has been compassionate, caring, understanding, patient and willing to listen. All the while they have maintained a level of professionalism needed to instill the confidence that I have in them today. 
I have never been left in the waiting room for longer that 10 minutes and just today had to wait for Dr Slavis for only 5 minutes and he actually apologized. Lol
I'm scheduled for surgery on Tuesday and I have no doubt that everything will go well with the experienced, confident Dr. Slavis doing the procedure.",1.0
"I've grown up going to panaderías. When my dad brought me to here, I was expecting the usual, but Vegas Bakery is definitely not.

You walk in and it's big and bright. When I went in, around 7 on a Saturday night, there were lots of staff friendly and ready to help. 

What I love is that they have the classic Mexican pan dulce like conchas and cuernos, but there's so much more, too. They add their own twists to classics here and they also have cannolis, cheesecake, red velvet cake and probably any other pastry you want. I was actually almost overwhelmed by all the choices. Nonetheless, they're pan dulce was good and I'll have to try it again when I come back to Vegas.",1.0
"We came with a group of 9 for Sunday brunch and it was great! My favorite part was that they include a beer in their brunch prices!

I ordered the monte cristo which was spectacular. Generous amount of melted Swiss is on top of a pile of ham in between tasty French toast. They have a jam smear on the plate which tasted great with the sandwich (it may have been cranberry but I am not certain). The potatoes were meh, especially when compared to the sandwich.

My husband ordered their chicken and waffles which were also quite good. And that is coming from me, a person who is not crazy for fried chicken. It comes with a small bowl of fresh fruit.

One of my friends ordered the biscuits and gravy which was also surprisingly good. The biscuits were average. The gravy was great with a distinct southwestern flair. Lots of sausage and a nice chili flavor without being too hot.",1.0
"My boyfriend and I are visiting Montreal and we decided to stop in Lindt to search for items that the Lindt USA shops don't carry. I work at a Lindt shop in the states and I was blown away at how well-kept the store was, the friendliness of all of the employees, and their exceptional selection of chocolate. 

The manager, Danielle, was particularly inviting and she went above and beyond to make sure that we found everything we needed. 

I had an amazing experience and will absolutely return if I ever visit Montreal again. :)",1.0
Truly a best kept secret!  I am a fairly picky eater and found the grilled chicken to be very tasty and cooked perfectly.  You will not find chicken cooked to this perfection anywhere in Pittsburgh.  The 2 sides I chose were cabbage and greens.  So scrumptious and vinegary and flavorful!  Nothing was over-salted either.  Where can you go and hear professional jazz music while dining (and at no charge!)  What a fun way to spend a Sunday evening.  The icing on the cake was P.K. walking me out to my car to be sure I was safe.  I will definitely be going back!  Glad to hear that you are expanding!,1.0
"Great poke place, very tasty like the Paina Cafes back home. The poke hits the spot when you're craving for local Hawaiian delights. Owner is very friendly and nice. Definitely will return! 

We were sad that they ran out of cream puffs, but hey, it'll make us come back again soon!",1.0
AWESOME love these guys. They responded quickly and took care of my clogged toilet fast. Professional nice and not pricey! Definitely recommend!,1.0
"They came out to fix my backwash handle and the first time I tried to use it it broke off. Literally didn't even last 1 use. When I called to have them replace it they asked me to go back through my warranty company but then I have pay the full $70 fee again. $140 total for a new handle? Both of the girls who handle the ""customer service"" are rude and snarky. I also don't appreciate the snarky and passive aggressive comment on this review from whoever Mike is.  The bottom line is that a handle that is used only once every 90 days or so should last more than 90 days. They didn't even replace the 15 year old handle just the base which is half a$$ and shoddy work. I don't care what the policy of my home warranty is. They should back up their product.  It's not the HW companies fault that they don't take pride in what they do. 

In short: Worthless customer service and worthless service on my pool. Don't bother with this company, I anticipate they'll be out of business within the year anyway. Good riddance.",1.0
"This is the 3rd escape room I have done at Countdown. 1st was Atelephobia, second was Chop Shop (Saw themed), and most recently Poseidon. The rooms are very well thought out and the staff is super nice and helpful! Excited to see what new rooms are created in the future!",1.0
