stars,text
1.0,I'm happy with my purchase is all I can say. The only complaint I have is that the 3.5 mm Jack is right next to the volume button and it gets in the way.
1.0,We did get this when it was in sale for about 50$ and for that this is an incredible value tablet perfect for anyone who wants a screen without paying premium prices. Build quality is fine and screen isn't the best but definitely usable.
1.0,"I am very happy with this Amazon tablet. I purchased it for business purposes, as well as recreational, and it works great for both. I did get an SD card for more memory. Also, if I would have bought directly from Amazon, there would've been a 1 month wait. However, I was able to order from Best Buy online, and pick it up that very day!!!"
1.0,"Very fast, very functional. Love the e-reader function. Movies, music and internet work great. LOVE IT!"
1.0,My son needed a tablet to take notes on at college classes. He wanted something small and lightweight instead of taking his laptop. He's found it to work perfectly for what he needs!
1.0,Was a gift and they love the tablet! Its a great price and works awesome!
1.0,This tablet is perfect for just about anything you could want to do on a tablet.
1.0,They were using them on Christmas morning!! It didn't take them long too be getting the best from those tablets
1.0,Nice look. Great memory and camera. For this much money everything is so good.
1.0,Great tablet for the price. My father in law likes the easy use of the tablet.
1.0,Got it as a present and love the size of the screen
1.0,Bought this as a gift for my mom and this was to replace her original Kindle Fire. She's have had a month now and is loving and no problems with it.
1.0,"Great tablet! Brought this for my wife and she loves reading off of it! Great price, easy to use! Great purchase!"
1.0,i would buy this item again. however charging port is
1.0,im always using my amazon tablet...perfect for games!!!
1.0,"awesomeness, love how i xan watch my xfinity movies"
1.0,"I bought one for my 9 year old son for his birthday - and now we are buying another one for our ten year old. We have had some tech issues as we are juggling three tablets on one account - but with careful monitoring, it's ok."
1.0,Great upgrade from Kindle Fire. Reasonably priced for product.
1.0,"Perfect for downloading and reading books !! Perfect size and has a nice, bright screen."
1.0,"I originally purchased a Kindle paperwhite but returned it the next day and purchased this one. Very easy to read on, watch movies, and listen to music."
1.0,Wow I've had quite a few different kindles over the years and I've loved all of them. But this kindle fire hd 8 is by far my favorite. So glad my husband bought it for me the best purchase ever.
1.0,Enjoy having the kindle. My son uses all the time for reading. It has helped him improve in his reading skills. We are glad we bought it. Thank you.
1.0,I really like this tablet. I would have given 5 stars but sometimes you have to push start several times after you unlock the screen and it is a little annoying.
